dataset,seq_len,method,kbits,vbits,status,ppl,elapsed_sec,peak_allocated_gb,n_eval,calib_dataset,calib_samples,group_size,window_size,sink,clip,error
wikitext2,2048,fp16,2,2,ok,6.958492,55.17,15.936,165,wikitext2,256,128,128,5,0.96,
wikitext2,2048,KIVI,2,2,ok,6.958492,57.46,16.029,165,wikitext2,256,128,128,5,0.96,
wikitext2,2048,skvq_baseline,2,2,ok,7.681223,58.55,17.841,165,wikitext2,256,128,128,5,0.96,
wikitext2,2048,tq_replace,2,2,ok,8.249090,61.41,17.844,165,wikitext2,256,128,128,5,0.96,
wikitext2,2048,tq_hybrid,2,2,ok,23.801981,129.49,18.069,165,wikitext2,256,128,128,5,0.96,
wikitext2,2048,fp16,2,1.5,ok,6.958492,0.00,15.936,165,wikitext2,256,128,128,5,0.96,
wikitext2,2048,KIVI,2,1.5,ok,6.958492,57.55,16.029,165,wikitext2,256,128,128,5,0.96,
wikitext2,2048,skvq_baseline,2,1.5,ok,9.025971,58.69,17.841,165,wikitext2,256,128,128,5,0.96,
wikitext2,2048,tq_replace,2,1.5,ok,8.761361,61.37,17.844,165,wikitext2,256,128,128,5,0.96,
wikitext2,2048,tq_hybrid,2,1.5,ok,20.002127,124.74,18.069,165,wikitext2,256,128,128,5,0.96,
wikitext2,2048,fp16,1.5,1.5,ok,6.958492,0.00,15.936,165,wikitext2,256,128,128,5,0.96,
wikitext2,2048,KIVI,1.5,1.5,ok,6.958492,57.59,16.029,165,wikitext2,256,128,128,5,0.96,
wikitext2,2048,skvq_baseline,1.5,1.5,ok,13.389288,58.39,17.841,165,wikitext2,256,128,128,5,0.96,
wikitext2,2048,tq_replace,1.5,1.5,ok,11.270834,61.44,17.844,165,wikitext2,256,128,128,5,0.96,
wikitext2,2048,tq_hybrid,1.5,1.5,ok,29.835260,124.30,18.069,165,wikitext2,256,128,128,5,0.96,
