task,method,kbits,vbits,status,score,n_samples,oom,elapsed_sec,peak_allocated_gb,group_size,window_size,sink,clip,protect_layers,protected_bits,error
lcc,fp16,2,2,ok,59.74,35,0,94.58,9.131,128,128,5,0.96,,,
repobench-p,fp16,2,2,ok,44.57,35,0,103.49,9.131,128,128,5,0.96,,,
passage_retrieval_en,fp16,2,2,ok,5.71,35,0,70.70,9.178,128,128,5,0.96,,,
trec,fp16,2,2,ok,26.19,35,0,98.95,9.131,128,128,5,0.96,,,
2wikimqa,fp16,2,2,ok,7.66,35,0,65.93,9.178,128,128,5,0.96,,,
gov_report,fp16,2,2,ok,27.95,35,0,559.24,8.519,128,128,5,0.96,,,
multifieldqa_zh,fp16,2,2,ok,13.11,35,0,98.96,9.131,128,128,5,0.96,,,
lcc,KIVI,2,2,ok,44.14,35,0,128.84,11.390,128,128,5,0.96,,,
repobench-p,KIVI,2,2,ok,38.11,35,0,142.31,11.390,128,128,5,0.96,,,
passage_retrieval_en,KIVI,2,2,ok,5.71,35,0,96.80,11.462,128,128,5,0.96,,,
trec,KIVI,2,2,ok,28.10,35,0,138.51,11.390,128,128,5,0.96,,,
2wikimqa,KIVI,2,2,ok,7.65,35,0,92.26,11.462,128,128,5,0.96,,,
gov_report,KIVI,2,2,ok,23.05,35,0,793.41,10.440,128,128,5,0.96,,,
multifieldqa_zh,KIVI,2,2,ok,14.90,35,0,139.11,11.390,128,128,5,0.96,,,
lcc,tq_replace,2,2,ok,41.14,35,0,178.31,12.344,128,128,5,0.96,,,
repobench-p,tq_replace,2,2,ok,32.49,35,0,198.59,12.344,128,128,5,0.96,,,
passage_retrieval_en,tq_replace,2,2,ok,0.00,35,0,127.26,12.423,128,128,5,0.96,,,
trec,tq_replace,2,2,ok,22.14,35,0,193.56,12.344,128,128,5,0.96,,,
2wikimqa,tq_replace,2,2,ok,5.99,35,0,121.99,12.423,128,128,5,0.96,,,
gov_report,tq_replace,2,2,ok,24.02,35,0,1196.54,11.285,128,128,5,0.96,,,
multifieldqa_zh,tq_replace,2,2,ok,14.96,35,0,192.89,12.344,128,128,5,0.96,,,
lcc,tq_hybrid,2,2,ok,46.34,35,0,1692.35,12.406,128,128,5,0.96,,,
repobench-p,tq_hybrid,2,2,ok,33.51,35,0,1708.11,12.406,128,128,5,0.96,,,
passage_retrieval_en,tq_hybrid,2,2,ok,8.57,35,0,887.10,12.485,128,128,5,0.96,,,
trec,tq_hybrid,2,2,ok,30.95,35,0,1704.92,12.406,128,128,5,0.96,,,
2wikimqa,tq_hybrid,2,2,ok,5.15,35,0,875.67,12.485,128,128,5,0.96,,,
gov_report,tq_hybrid,2,2,ok,26.62,35,0,13273.10,11.346,128,128,5,0.96,,,
multifieldqa_zh,tq_hybrid,2,2,ok,14.17,35,0,1704.82,12.406,128,128,5,0.96,,,
lcc,tq_asym_protect,2,2,ok,51.43,35,0,1708.54,12.406,128,128,5,0.96,4,8,
repobench-p,tq_asym_protect,2,2,ok,38.14,35,0,1716.56,12.406,128,128,5,0.96,4,8,
passage_retrieval_en,tq_asym_protect,2,2,ok,7.14,35,0,897.09,12.485,128,128,5,0.96,4,8,
trec,tq_asym_protect,2,2,ok,37.62,35,0,1721.73,12.406,128,128,5,0.96,4,8,
2wikimqa,tq_asym_protect,2,2,ok,6.54,35,0,882.01,12.485,128,128,5,0.96,4,8,
