task,method,kbits,vbits,status,score,n_samples,oom,elapsed_sec,peak_allocated_gb,group_size,window_size,sink,clip,protect_layers,protected_bits,error
lcc,fp16,2,2,ok,59.74,35,0,93.32,9.131,128,128,5,0.96,,,
repobench-p,fp16,2,2,ok,44.57,35,0,103.96,9.131,128,128,5,0.96,,,
passage_retrieval_en,fp16,2,2,ok,5.71,35,0,72.11,9.178,128,128,5,0.96,,,
trec,fp16,2,2,ok,26.19,35,0,99.68,9.131,128,128,5,0.96,,,
lcc,KIVI,2,2,ok,44.14,35,0,130.08,11.390,128,128,5,0.96,,,
repobench-p,KIVI,2,2,ok,38.11,35,0,143.69,11.390,128,128,5,0.96,,,
passage_retrieval_en,KIVI,2,2,ok,5.71,35,0,97.17,11.462,128,128,5,0.96,,,
trec,KIVI,2,2,ok,28.10,35,0,139.20,11.390,128,128,5,0.96,,,
lcc,tq_replace,2,2,ok,41.14,35,0,179.53,12.344,128,128,5,0.96,,,
repobench-p,tq_replace,2,2,ok,32.49,35,0,195.24,12.344,128,128,5,0.96,,,
passage_retrieval_en,tq_replace,2,2,ok,0.00,35,0,127.26,12.423,128,128,5,0.96,,,
trec,tq_replace,2,2,ok,22.14,35,0,192.71,12.344,128,128,5,0.96,,,
lcc,tq_hybrid,2,2,ok,46.34,35,0,1722.34,12.406,128,128,5,0.96,,,
repobench-p,tq_hybrid,2,2,ok,33.51,35,0,1705.50,12.406,128,128,5,0.96,,,
passage_retrieval_en,tq_hybrid,2,2,ok,8.57,35,0,876.55,12.485,128,128,5,0.96,,,
trec,tq_hybrid,2,2,ok,30.95,35,0,1714.46,12.406,128,128,5,0.96,,,
