dataset,seq_len,method,kbits,vbits,status,ppl,elapsed_sec,peak_allocated_gb,n_eval,calib_dataset,calib_samples,group_size,window_size,sink,clip,protect_layers,protected_bits,error
c4,2048,KIVI,1.5,1.5,ok,28.757267,5.68,16.018,16,wikitext2,256,128,128,5,0.96,,,
c4,2048,KIVI,2,1.5,ok,17.065950,5.66,16.018,16,wikitext2,256,128,128,5,0.96,,,
c4,2048,KIVI,2,2,ok,12.741312,5.69,16.018,16,wikitext2,256,128,128,5,0.96,,,
c4,2048,fp16,1.5,1.5,ok,10.087470,0.00,16.064,16,wikitext2,256,128,128,5,0.96,,,
c4,2048,fp16,2,1.5,ok,10.087470,0.00,16.064,16,wikitext2,256,128,128,5,0.96,,,
c4,2048,fp16,2,2,ok,10.087470,5.33,16.064,16,wikitext2,256,128,128,5,0.96,,,
c4,2048,skvq_baseline,1.5,1.5,ok,18.273205,5.62,17.840,16,wikitext2,256,128,128,5,0.96,,,
c4,2048,skvq_baseline,2,1.5,ok,13.266088,5.68,17.840,16,wikitext2,256,128,128,5,0.96,,,
c4,2048,skvq_baseline,2,2,ok,11.141461,5.67,17.840,16,wikitext2,256,128,128,5,0.96,,,
c4,2048,tq_asym_protect,1.5,1.5,ok,11.682781,18.07,17.967,16,wikitext2,256,128,128,5,0.96,4,8,
c4,2048,tq_asym_protect,2,1.5,ok,10.798363,17.93,17.967,16,wikitext2,256,128,128,5,0.96,4,8,
c4,2048,tq_asym_protect,2,2,ok,10.479211,17.74,17.967,16,wikitext2,256,128,128,5,0.96,4,8,
c4,2048,tq_hybrid,1.5,1.5,ok,26.540213,18.04,17.967,16,wikitext2,256,128,128,5,0.96,,,
c4,2048,tq_hybrid,2,1.5,ok,12.392698,18.56,17.967,16,wikitext2,256,128,128,5,0.96,,,
c4,2048,tq_hybrid,2,2,ok,11.581572,17.76,17.967,16,wikitext2,256,128,128,5,0.96,,,
c4,2048,tq_replace,1.5,1.5,ok,15.791035,5.96,17.843,16,wikitext2,256,128,128,5,0.96,,,
c4,2048,tq_replace,2,1.5,ok,12.448115,6.13,17.843,16,wikitext2,256,128,128,5,0.96,,,
c4,2048,tq_replace,2,2,ok,11.751850,5.95,17.843,16,wikitext2,256,128,128,5,0.96,,,
c4,4096,KIVI,1.5,1.5,ok,28.489122,16.42,13.022,16,wikitext2,256,128,128,5,0.96,,,
c4,4096,KIVI,2,1.5,ok,16.717318,16.40,13.022,16,wikitext2,256,128,128,5,0.96,,,
c4,4096,KIVI,2,2,ok,12.638735,16.42,13.022,16,wikitext2,256,128,128,5,0.96,,,
c4,4096,fp16,1.5,1.5,ok,10.236499,0.00,13.023,16,wikitext2,256,128,128,5,0.96,,,
c4,4096,fp16,2,1.5,ok,10.236499,0.00,13.023,16,wikitext2,256,128,128,5,0.96,,,
c4,4096,fp16,2,2,ok,10.236499,15.81,13.023,16,wikitext2,256,128,128,5,0.96,,,
c4,4096,tq_asym_protect,1.5,1.5,ok,12.019763,29.27,15.021,16,wikitext2,256,128,128,5,0.96,4,8,
c4,4096,tq_asym_protect,2,1.5,ok,11.084454,29.21,15.021,16,wikitext2,256,128,128,5,0.96,4,8,
c4,4096,tq_asym_protect,2,2,ok,10.755105,30.69,15.021,16,wikitext2,256,128,128,5,0.96,4,8,
c4,4096,tq_hybrid,1.5,1.5,ok,17.816666,28.90,15.021,16,wikitext2,256,128,128,5,0.96,,,
c4,4096,tq_hybrid,2,1.5,ok,13.526500,29.18,15.021,16,wikitext2,256,128,128,5,0.96,,,
c4,4096,tq_hybrid,2,2,ok,12.153112,29.87,15.021,16,wikitext2,256,128,128,5,0.96,,,
c4,4096,tq_replace,1.5,1.5,ok,17.641033,17.28,14.959,16,wikitext2,256,128,128,5,0.96,,,
c4,4096,tq_replace,2,1.5,ok,13.215642,17.29,14.959,16,wikitext2,256,128,128,5,0.96,,,
c4,4096,tq_replace,2,2,ok,12.074526,17.30,14.959,16,wikitext2,256,128,128,5,0.96,,,
wikitext2,2048,KIVI,1.5,1.5,ok,21.758198,5.71,16.018,16,wikitext2,256,128,128,5,0.96,,,
wikitext2,2048,KIVI,2,1.5,ok,12.387804,5.69,16.018,16,wikitext2,256,128,128,5,0.96,,,
wikitext2,2048,KIVI,2,2,ok,8.808283,5.63,16.018,16,wikitext2,256,128,128,5,0.96,,,
wikitext2,2048,fp16,1.5,1.5,ok,6.872136,0.00,15.936,16,wikitext2,256,128,128,5,0.96,,,
wikitext2,2048,fp16,2,1.5,ok,6.872136,0.00,15.936,16,wikitext2,256,128,128,5,0.96,,,
wikitext2,2048,fp16,2,2,ok,6.872136,5.63,15.936,16,wikitext2,256,128,128,5,0.96,,,
wikitext2,2048,skvq_baseline,1.5,1.5,ok,13.096522,5.69,17.840,16,wikitext2,256,128,128,5,0.96,,,
wikitext2,2048,skvq_baseline,2,1.5,ok,8.963426,5.67,17.840,16,wikitext2,256,128,128,5,0.96,,,
wikitext2,2048,skvq_baseline,2,2,ok,7.608276,5.64,17.840,16,wikitext2,256,128,128,5,0.96,,,
wikitext2,2048,tq_asym_protect,1.5,1.5,ok,8.337813,17.73,17.967,16,wikitext2,256,128,128,5,0.96,4,8,
wikitext2,2048,tq_asym_protect,2,1.5,ok,7.506462,18.81,17.967,16,wikitext2,256,128,128,5,0.96,4,8,
wikitext2,2048,tq_asym_protect,2,2,ok,7.295391,19.60,17.967,16,wikitext2,256,128,128,5,0.96,4,8,
wikitext2,2048,tq_hybrid,1.5,1.5,ok,18.480734,17.79,17.967,16,wikitext2,256,128,128,5,0.96,,,
wikitext2,2048,tq_hybrid,2,1.5,ok,8.552000,18.01,17.967,16,wikitext2,256,128,128,5,0.96,,,
wikitext2,2048,tq_hybrid,2,2,ok,7.937551,17.80,17.967,16,wikitext2,256,128,128,5,0.96,,,
wikitext2,2048,tq_replace,1.5,1.5,ok,11.429075,6.00,17.843,16,wikitext2,256,128,128,5,0.96,,,
wikitext2,2048,tq_replace,2,1.5,ok,8.743773,5.92,17.843,16,wikitext2,256,128,128,5,0.96,,,
wikitext2,2048,tq_replace,2,2,ok,8.163056,6.07,17.843,16,wikitext2,256,128,128,5,0.96,,,
wikitext2,4096,KIVI,1.5,1.5,ok,26.447857,16.45,13.022,16,wikitext2,256,128,128,5,0.96,,,
wikitext2,4096,KIVI,2,1.5,ok,13.390712,16.41,13.022,16,wikitext2,256,128,128,5,0.96,,,
wikitext2,4096,KIVI,2,2,ok,9.093012,16.34,13.022,16,wikitext2,256,128,128,5,0.96,,,
wikitext2,4096,fp16,1.5,1.5,ok,7.051873,0.00,12.959,16,wikitext2,256,128,128,5,0.96,,,
wikitext2,4096,fp16,2,1.5,ok,7.051873,0.00,12.959,16,wikitext2,256,128,128,5,0.96,,,
wikitext2,4096,fp16,2,2,ok,7.051873,16.14,12.959,16,wikitext2,256,128,128,5,0.96,,,
wikitext2,4096,tq_asym_protect,1.5,1.5,ok,8.744516,29.57,15.021,16,wikitext2,256,128,128,5,0.96,4,8,
wikitext2,4096,tq_asym_protect,2,1.5,ok,7.785032,31.56,15.021,16,wikitext2,256,128,128,5,0.96,4,8,
wikitext2,4096,tq_asym_protect,2,2,ok,7.564674,31.36,15.021,16,wikitext2,256,128,128,5,0.96,4,8,
wikitext2,4096,tq_hybrid,1.5,1.5,ok,14.203050,30.09,15.021,16,wikitext2,256,128,128,5,0.96,,,
wikitext2,4096,tq_hybrid,2,1.5,ok,9.184507,29.35,15.021,16,wikitext2,256,128,128,5,0.96,,,
wikitext2,4096,tq_hybrid,2,2,ok,8.448351,29.52,15.021,16,wikitext2,256,128,128,5,0.96,,,
wikitext2,4096,tq_replace,1.5,1.5,ok,13.102615,17.36,14.959,16,wikitext2,256,128,128,5,0.96,,,
wikitext2,4096,tq_replace,2,1.5,ok,9.380865,17.27,14.959,16,wikitext2,256,128,128,5,0.96,,,
wikitext2,4096,tq_replace,2,2,ok,8.567064,17.35,14.959,16,wikitext2,256,128,128,5,0.96,,,
