dataset,seq_len,method,kbits,vbits,status,ppl,elapsed_sec,peak_allocated_gb,n_eval,calib_dataset,calib_samples,group_size,window_size,sink,clip,error
wikitext2,2048,KIVI,1.5,1.5,ok,6.839299,16.74,16.018,48,wikitext2,256,128,128,5,0.96,
wikitext2,2048,KIVI,2,1.5,ok,6.839299,16.76,16.018,48,wikitext2,256,128,128,5,0.96,
wikitext2,2048,KIVI,2,2,ok,6.839299,16.74,16.018,48,wikitext2,256,128,128,5,0.96,
wikitext2,2048,fp16,1.5,1.5,ok,6.839299,0.00,15.936,48,wikitext2,256,128,128,5,0.96,
wikitext2,2048,fp16,2,1.5,ok,6.839299,0.00,15.936,48,wikitext2,256,128,128,5,0.96,
wikitext2,2048,fp16,2,2,ok,6.839299,16.04,15.936,48,wikitext2,256,128,128,5,0.96,
wikitext2,2048,skvq_baseline,1.5,1.5,ok,13.143270,17.00,17.841,48,wikitext2,256,128,128,5,0.96,
wikitext2,2048,skvq_baseline,2,1.5,ok,8.875615,17.07,17.841,48,wikitext2,256,128,128,5,0.96,
wikitext2,2048,skvq_baseline,2,2,ok,7.557979,16.99,17.841,48,wikitext2,256,128,128,5,0.96,
wikitext2,2048,tq_hybrid,1.5,1.5,ok,28.276632,36.97,18.069,48,wikitext2,256,128,128,5,0.96,
wikitext2,2048,tq_hybrid,2,1.5,ok,19.296822,36.33,18.069,48,wikitext2,256,128,128,5,0.96,
wikitext2,2048,tq_hybrid,2,2,ok,23.296881,41.92,18.069,48,wikitext2,256,128,128,5,0.96,
wikitext2,2048,tq_replace,1.5,1.5,ok,11.139621,17.84,17.844,48,wikitext2,256,128,128,5,0.96,
wikitext2,2048,tq_replace,2,1.5,ok,8.608072,17.83,17.844,48,wikitext2,256,128,128,5,0.96,
wikitext2,2048,tq_replace,2,2,ok,8.101314,18.03,17.844,48,wikitext2,256,128,128,5,0.96,
