method,kbits,vbits,context_length,depth_percent,status,hit,elapsed_sec,new_tokens,prompt_tokens,peak_allocated_gb,expected,prediction,error,group_size,window_size,sink,clip,protect_layers,protected_bits
KIVI,2,2,4096,10.0,ok,0,2.06,24,4095,11.537,AURORA-7749,AURORA-7777 The 10 Best Places to Visit in Japan in,,128,128,5,0.96,,
KIVI,2,2,4096,25.0,ok,0,1.94,24,4096,11.540,AURORA-7749,AURORA-749 The 10 Best Places to Visit in Japan in 2,,128,128,5,0.96,,
KIVI,2,2,4096,50.0,ok,0,2.25,24,4095,11.537,AURORA-7749,AURORA-774 The 10 Best Places to Visit in the World in,,128,128,5,0.96,,
KIVI,2,2,4096,75.0,ok,1,2.09,24,4095,11.537,AURORA-7749,AURORA-7749. The 2023 Grammy Awards are set to,,128,128,5,0.96,,
KIVI,2,2,4096,90.0,ok,1,2.16,24,4096,11.540,AURORA-7749,AURORA-7749. The 10 Best Places to Visit in Japan in,,128,128,5,0.96,,
KIVI,2,2,8192,10.0,oom,,0.46,,,22.880,AURORA-7749,,"CUDA out of memory. Tried to allocate 4.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 3.91 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 19.07 GiB is allocated by PyTorch, and 106.39 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stab",128,128,5,0.96,,
KIVI,2,2,8192,25.0,oom,,0.38,,,22.884,AURORA-7749,,"CUDA out of memory. Tried to allocate 4.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 3.91 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 19.07 GiB is allocated by PyTorch, and 103.28 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stab",128,128,5,0.96,,
KIVI,2,2,8192,50.0,oom,,0.39,,,22.880,AURORA-7749,,"CUDA out of memory. Tried to allocate 4.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 3.91 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 19.07 GiB is allocated by PyTorch, and 106.39 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stab",128,128,5,0.96,,
KIVI,2,2,8192,75.0,oom,,0.40,,,22.880,AURORA-7749,,"CUDA out of memory. Tried to allocate 4.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 3.91 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 19.07 GiB is allocated by PyTorch, and 106.39 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stab",128,128,5,0.96,,
KIVI,2,2,8192,90.0,oom,,0.38,,,22.884,AURORA-7749,,"CUDA out of memory. Tried to allocate 4.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 3.91 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 19.07 GiB is allocated by PyTorch, and 103.28 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stab",128,128,5,0.96,,
