method,context_length,depth_percent,ok,errors,hits,hit_rate
KIVI,4096,10.0,1,0,0,0.0000
KIVI,4096,25.0,1,0,0,0.0000
KIVI,4096,50.0,1,0,0,0.0000
KIVI,4096,75.0,1,0,1,1.0000
KIVI,4096,90.0,1,0,1,1.0000
KIVI,8192,10.0,0,1,0,
KIVI,8192,25.0,0,1,0,
KIVI,8192,50.0,0,1,0,
KIVI,8192,75.0,0,1,0,
KIVI,8192,90.0,0,1,0,
KIVI,16384,10.0,0,1,0,
KIVI,16384,25.0,0,1,0,
KIVI,16384,50.0,0,1,0,
KIVI,16384,75.0,0,1,0,
KIVI,16384,90.0,0,1,0,
KIVI,32768,10.0,0,1,0,
KIVI,32768,25.0,0,1,0,
KIVI,32768,50.0,0,1,0,
KIVI,32768,75.0,0,1,0,
KIVI,32768,90.0,0,1,0,
fp16,4096,10.0,1,0,1,1.0000
fp16,4096,25.0,1,0,1,1.0000
fp16,4096,50.0,1,0,1,1.0000
fp16,4096,75.0,1,0,1,1.0000
fp16,4096,90.0,1,0,1,1.0000
fp16,8192,10.0,0,1,0,
fp16,8192,25.0,0,1,0,
fp16,8192,50.0,0,1,0,
fp16,8192,75.0,0,1,0,
fp16,8192,90.0,0,1,0,
fp16,16384,10.0,0,1,0,
fp16,16384,25.0,0,1,0,
fp16,16384,50.0,0,1,0,
fp16,16384,75.0,0,1,0,
fp16,16384,90.0,0,1,0,
fp16,32768,10.0,0,1,0,
fp16,32768,25.0,0,1,0,
fp16,32768,50.0,0,1,0,
fp16,32768,75.0,0,1,0,
fp16,32768,90.0,0,1,0,
skvq_baseline,4096,10.0,0,1,0,
skvq_baseline,4096,25.0,0,1,0,
skvq_baseline,4096,50.0,0,1,0,
skvq_baseline,4096,75.0,0,1,0,
skvq_baseline,4096,90.0,0,1,0,
skvq_baseline,8192,10.0,0,1,0,
skvq_baseline,8192,25.0,0,1,0,
skvq_baseline,8192,50.0,0,1,0,
skvq_baseline,8192,75.0,0,1,0,
skvq_baseline,8192,90.0,0,1,0,
tq_asym_protect,4096,10.0,1,0,0,0.0000
tq_asym_protect,4096,25.0,1,0,1,1.0000
tq_asym_protect,4096,50.0,1,0,1,1.0000
tq_asym_protect,4096,75.0,1,0,1,1.0000
tq_asym_protect,4096,90.0,1,0,1,1.0000
tq_asym_protect,8192,10.0,0,1,0,
tq_asym_protect,8192,25.0,0,1,0,
tq_asym_protect,8192,50.0,0,1,0,
tq_asym_protect,8192,75.0,0,1,0,
tq_asym_protect,8192,90.0,0,1,0,
tq_asym_protect,16384,10.0,0,1,0,
tq_asym_protect,16384,25.0,0,1,0,
tq_asym_protect,16384,50.0,0,1,0,
tq_asym_protect,16384,75.0,0,1,0,
tq_asym_protect,16384,90.0,0,1,0,
tq_asym_protect,32768,10.0,0,1,0,
tq_asym_protect,32768,25.0,0,1,0,
tq_asym_protect,32768,50.0,0,1,0,
tq_asym_protect,32768,75.0,0,1,0,
tq_asym_protect,32768,90.0,0,1,0,
tq_hybrid,4096,10.0,1,0,1,1.0000
tq_hybrid,4096,25.0,1,0,1,1.0000
tq_hybrid,4096,50.0,1,0,1,1.0000
tq_hybrid,4096,75.0,1,0,1,1.0000
tq_hybrid,4096,90.0,1,0,1,1.0000
tq_hybrid,8192,10.0,0,1,0,
tq_hybrid,8192,25.0,0,1,0,
tq_hybrid,8192,50.0,0,1,0,
tq_hybrid,8192,75.0,0,1,0,
tq_hybrid,8192,90.0,0,1,0,
tq_hybrid,16384,10.0,0,1,0,
tq_hybrid,16384,25.0,0,1,0,
tq_hybrid,16384,50.0,0,1,0,
tq_hybrid,16384,75.0,0,1,0,
tq_hybrid,16384,90.0,0,1,0,
tq_hybrid,32768,10.0,0,1,0,
tq_hybrid,32768,25.0,0,1,0,
tq_hybrid,32768,50.0,0,1,0,
tq_hybrid,32768,75.0,0,1,0,
tq_hybrid,32768,90.0,0,1,0,
tq_replace,4096,10.0,1,0,0,0.0000
tq_replace,4096,25.0,1,0,1,1.0000
tq_replace,4096,50.0,1,0,0,0.0000
tq_replace,4096,75.0,1,0,1,1.0000
tq_replace,4096,90.0,1,0,0,0.0000
tq_replace,8192,10.0,0,1,0,
tq_replace,8192,25.0,0,1,0,
tq_replace,8192,50.0,0,1,0,
tq_replace,8192,75.0,0,1,0,
tq_replace,8192,90.0,0,1,0,
tq_replace,16384,10.0,0,1,0,
tq_replace,16384,25.0,0,1,0,
tq_replace,16384,50.0,0,1,0,
tq_replace,16384,75.0,0,1,0,
tq_replace,16384,90.0,0,1,0,
tq_replace,32768,10.0,0,1,0,
tq_replace,32768,25.0,0,1,0,
tq_replace,32768,50.0,0,1,0,
tq_replace,32768,75.0,0,1,0,
tq_replace,32768,90.0,0,1,0,
