method,kbits,vbits,context_length,depth_percent,status,hit,elapsed_sec,new_tokens,prompt_tokens,peak_allocated_gb,expected,prediction,error,group_size,window_size,sink,clip,protect_layers,protected_bits
KIVI,2,2,4096,10.0,ok,0,2.69,24,4095,11.531,AURORA-7749,"AURORA-749. \n\nThis archival report discusses municipal planning notes, bridge ins",,128,128,5,0.96,,
KIVI,2,2,4096,25.0,ok,0,2.00,24,4096,11.534,AURORA-7749,AURORA-749,,128,128,5,0.96,,
KIVI,2,2,4096,50.0,ok,0,2.04,24,4095,11.532,AURORA-7749,"AURORA-774\n\nThis archival report discusses municipal planning notes, bridge inspections",,128,128,5,0.96,,
KIVI,2,2,4096,75.0,ok,1,2.04,24,4095,11.532,AURORA-7749,AURORA-7749.  Question: What is the secret retrieval code? Answer: A,,128,128,5,0.96,,
KIVI,2,2,4096,90.0,ok,1,1.97,24,4096,11.534,AURORA-7749,AURORA-7749.\n\nNote: The secret retrieval code is AURORA,,128,128,5,0.96,,
fp16,2,2,4096,10.0,ok,1,1.61,24,4095,9.225,AURORA-7749,AURORA-7749. \n\nNote: The secret retrieval code is a unique identifier,,128,128,5,0.96,,
fp16,2,2,4096,25.0,ok,1,1.46,24,4096,9.226,AURORA-7749,AURORA-7749. \n\nNote: The secret retrieval code is a unique identifier,,128,128,5,0.96,,
fp16,2,2,4096,50.0,ok,1,1.47,24,4095,9.225,AURORA-7749,AURORA-7749. \n\nNote: The secret retrieval code is AURO,,128,128,5,0.96,,
fp16,2,2,4096,75.0,ok,1,1.45,24,4095,9.225,AURORA-7749,AURORA-7749. \n\nNote: The secret retrieval code is only mentioned in,,128,128,5,0.96,,
fp16,2,2,4096,90.0,ok,1,1.43,24,4096,9.226,AURORA-7749,AURORA-7749. \n\nNote: The secret retrieval code is only mentioned in,,128,128,5,0.96,,
skvq_baseline,2,2,4096,10.0,error,,1.08,,,12.499,AURORA-7749,,CUDA error: an illegal memory access was encountered,128,128,5,0.96,,
skvq_baseline,2,2,4096,25.0,error,,0.04,,,12.499,AURORA-7749,,CUDA error: an illegal memory access was encountered,128,128,5,0.96,,
skvq_baseline,2,2,4096,50.0,error,,0.04,,,12.499,AURORA-7749,,CUDA error: an illegal memory access was encountered,128,128,5,0.96,,
skvq_baseline,2,2,4096,75.0,error,,0.03,,,12.499,AURORA-7749,,CUDA error: an illegal memory access was encountered,128,128,5,0.96,,
skvq_baseline,2,2,4096,90.0,error,,0.03,,,12.499,AURORA-7749,,CUDA error: an illegal memory access was encountered,128,128,5,0.96,,
tq_asym_protect,2,2,4096,10.0,ok,1,24.63,24,4095,12.562,AURORA-7749,"AURORA-7749.\n\nThis archival report discusses municipal planning notes, bridge ins",,128,128,5,0.96,4,8
tq_asym_protect,2,2,4096,25.0,ok,1,19.58,24,4096,12.565,AURORA-7749,"AURORA-7749.\n\nThis archival report discusses municipal planning notes, bridge ins",,128,128,5,0.96,4,8
tq_asym_protect,2,2,4096,50.0,ok,1,18.67,24,4095,12.563,AURORA-7749,AURORA-7749.\n\nNote: The secret retrieval code is AURORA,,128,128,5,0.96,4,8
tq_asym_protect,2,2,4096,75.0,ok,1,18.35,24,4095,12.563,AURORA-7749,"AURORA-7749. \n\nThis archival report discusses municipal planning notes, bridge",,128,128,5,0.96,4,8
tq_asym_protect,2,2,4096,90.0,ok,1,18.31,24,4096,12.565,AURORA-7749,"AURORA-7749.\n\nThis archival report discusses municipal planning notes, bridge ins",,128,128,5,0.96,4,8
tq_hybrid,2,2,4096,10.0,ok,1,22.29,24,4095,12.562,AURORA-7749,The secret retrieval code is AURORA-7749.,,128,128,5,0.96,,
tq_hybrid,2,2,4096,25.0,ok,1,18.43,24,4096,12.565,AURORA-7749,The secret retrieval code is AURORA-7749.,,128,128,5,0.96,,
tq_hybrid,2,2,4096,50.0,ok,1,18.43,24,4095,12.562,AURORA-7749,The secret retrieval code is AURORA-7749.,,128,128,5,0.96,,
tq_hybrid,2,2,4096,75.0,ok,1,18.36,24,4095,12.562,AURORA-7749,The secret retrieval code is AURORA-7749.\n\nThis archival report discusses,,128,128,5,0.96,,
tq_hybrid,2,2,4096,90.0,ok,1,19.05,24,4096,12.565,AURORA-7749,The secret retrieval code is AURORA-7749.,,128,128,5,0.96,,
tq_replace,2,2,4096,10.0,ok,1,3.57,24,4095,12.501,AURORA-7749,AURORA-7749.\n\nNote: The secret retrieval code is a unique identifier assigned,,128,128,5,0.96,,
tq_replace,2,2,4096,25.0,ok,1,2.57,24,4096,12.503,AURORA-7749,AURORA-7749.\n\nNote: The secret retrieval code is a unique identifier assigned,,128,128,5,0.96,,
tq_replace,2,2,4096,50.0,ok,0,2.65,24,4095,12.501,AURORA-7749,AURORA-749. \n\nNote: The secret retrieval code is a unique identifier assigned,,128,128,5,0.96,,
tq_replace,2,2,4096,75.0,ok,1,2.63,24,4095,12.501,AURORA-7749,AURORA-7749. \n\nNote: The secret retrieval code is a unique identifier,,128,128,5,0.96,,
tq_replace,2,2,4096,90.0,ok,0,2.59,24,4096,12.503,AURORA-7749,7749. \n\nNote: This report is a fictional document created for the purpose of this,,128,128,5,0.96,,
