method,context_length,depth_percent,ok,errors,hits,hit_rate
KIVI,4096,10.0,1,0,0,0.0000
KIVI,4096,25.0,1,0,0,0.0000
KIVI,4096,50.0,1,0,0,0.0000
KIVI,4096,75.0,1,0,1,1.0000
KIVI,4096,90.0,1,0,1,1.0000
fp16,4096,10.0,1,0,1,1.0000
fp16,4096,25.0,1,0,1,1.0000
fp16,4096,50.0,1,0,1,1.0000
fp16,4096,75.0,1,0,1,1.0000
fp16,4096,90.0,1,0,1,1.0000
skvq_baseline,4096,10.0,0,1,0,
skvq_baseline,4096,25.0,0,1,0,
skvq_baseline,4096,50.0,0,1,0,
skvq_baseline,4096,75.0,0,1,0,
skvq_baseline,4096,90.0,0,1,0,
tq_asym_protect,4096,10.0,1,0,1,1.0000
tq_asym_protect,4096,25.0,1,0,1,1.0000
tq_asym_protect,4096,50.0,1,0,1,1.0000
tq_asym_protect,4096,75.0,1,0,1,1.0000
tq_asym_protect,4096,90.0,1,0,1,1.0000
tq_hybrid,4096,10.0,1,0,1,1.0000
tq_hybrid,4096,25.0,1,0,1,1.0000
tq_hybrid,4096,50.0,1,0,1,1.0000
tq_hybrid,4096,75.0,1,0,1,1.0000
tq_hybrid,4096,90.0,1,0,1,1.0000
tq_replace,4096,10.0,1,0,1,1.0000
tq_replace,4096,25.0,1,0,1,1.0000
tq_replace,4096,50.0,1,0,0,0.0000
tq_replace,4096,75.0,1,0,1,1.0000
tq_replace,4096,90.0,1,0,0,0.0000
